experiment_0,experiment_1,experiment_2,experiment_3,experiment_4,experiment_5,experiment_6,experiment_7,experiment_8,experiment_9
176,960,252,504,320,212,438,848,130,128
228,794,256,484,138,256,178,250,246,638
278,266,166,532,162,258,384,478,228,474
304,1938,202,1756,108,362,406,200,222,312
252,226,100,2308,320,168,1044,654,190,946
146,534,168,1188,278,184,1134,218,166,266
146,1448,144,1074,190,230,602,296,156,634
196,372,136,302,354,374,238,276,174,656
306,1672,158,2000,148,310,1102,264,114,440
214,416,162,528,192,222,294,488,182,154
150,530,326,974,174,156,728,198,134,642
126,388,158,374,118,162,644,248,202,350
116,788,124,1002,140,302,580,672,218,608
548,562,162,314,178,204,356,316,164,554
486,238,274,626,126,152,606,162,102,434
228,1914,206,856,268,202,202,488,168,406
304,734,166,388,160,232,478,318,102,324
360,1168,160,480,142,202,980,202,202,168
252,424,106,424,226,250,606,324,104,466
280,1300,88,744,228,178,418,306,184,332
240,494,138,458,304,168,944,320,174,834
200,624,132,1540,178,168,936,336,194,798
440,810,154,664,136,140,216,214,226,444
202,718,140,196,128,174,954,106,182,336
226,238,114,200,306,244,688,610,138,244
236,492,168,284,306,198,518,246,192,402
196,184,136,530,232,174,936,302,142,352
208,244,190,568,312,174,400,202,158,540
394,830,214,1178,166,122,460,216,166,160
280,390,130,1214,318,118,316,144,162,368
348,350,138,570,180,204,570,182,166,266
230,688,176,498,114,336,518,142,176,472
336,348,104,348,318,186,252,308,150,178
186,490,172,1118,152,138,594,254,240,292
182,354,168,246,228,154,228,524,162,256
230,682,206,1458,152,232,388,224,294,784
252,204,122,1016,270,176,296,266,122,336
358,488,234,794,106,228,254,262,178,326
172,678,170,330,158,130,488,264,198,410
256,478,140,464,264,100,604,168,150,298
190,376,214,486,186,288,360,240,270,158
342,446,278,384,244,232,430,368,110,1166
268,274,114,220,222,78,554,278,134,178
286,242,174,358,144,174,176,256,124,232
260,404,136,344,174,106,354,328,192,698
182,286,114,204,186,172,190,126,116,138
188,336,234,730,206,158,508,198,128,244
132,698,162,248,222,156,206,206,146,328
152,190,164,288,162,236,350,216,142,272
168,704,120,580,112,152,664,222,154,630
236,314,148,308,310,126,524,254,142,566
216,690,138,170,184,174,430,90,168,832
166,390,146,126,262,194,254,170,178,456
114,482,120,342,180,170,202,152,120,372
166,552,168,296,108,148,250,228,232,446
206,224,154,394,174,280,220,138,174,210
168,574,194,370,176,146,210,172,164,344
168,298,214,606,186,138,206,312,122,370
150,224,118,392,92,258,224,126,116,508
162,134,126,470,190,154,194,200,174,692
216,654,132,358,156,124,234,222,132,234
154,292,124,760,406,236,204,136,224,388
236,134,128,424,242,144,120,130,204,238
170,236,112,356,294,108,238,188,110,206
182,416,100,346,176,152,298,114,158,164
202,286,182,208,156,110,320,156,182,430
324,206,126,300,220,274,194,196,94,124
138,364,72,258,192,170,170,214,156,264
198,192,234,162,142,154,226,182,138,396
200,172,164,358,150,168,190,216,116,494
176,356,146,206,176,128,170,128,196,346
218,286,114,310,208,146,182,272,144,370
152,332,100,214,302,188,438,124,178,274
86,176,114,176,112,118,160,182,96,244
120,210,178,248,274,126,292,140,112,142
234,214,196,106,230,162,270,216,88,334
166,216,148,186,128,102,214,156,114,242
152,234,192,328,224,114,156,154,200,920
140,202,140,374,706,128,216,244,122,424
130,210,152,280,164,88,162,158,132,634
216,190,176,286,224,120,150,188,116,500
174,264,112,330,660,172,160,128,124,694
160,258,142,142,220,108,342,222,92,158
168,320,136,262,496,112,120,160,144,232
152,360,116,242,2322,194,222,124,162,330
130,346,104,144,246,204,166,104,158,672
128,280,106,136,886,180,194,164,108,174
244,168,138,244,352,198,414,160,174,362
244,376,144,280,450,84,190,142,110,172
168,332,168,504,338,156,322,138,202,372
188,226,102,290,168,156,184,104,126,364
154,234,120,606,142,142,160,158,158,302
168,212,142,292,432,110,252,334,150,332
206,320,118,146,172,168,366,210,120,198
122,228,90,392,190,130,234,188,204,308
126,278,168,252,462,98,240,180,146,386
178,202,88,312,352,218,322,184,124,390
154,192,68,354,260,130,486,136,136,264
140,264,116,236,168,130,210,176,112,1028
132,146,98,84,134,96,244,130,190,352
134,240,102,106,598,164,350,204,150,294
168,210,186,366,204,110,300,154,110,100
138,196,88,498,248,112,152,236,114,234
164,284,116,128,270,112,208,190,106,242
188,280,98,282,238,114,124,136,112,666
156,216,82,202,164,76,362,160,166,2244
112,482,92,308,190,134,200,324,130,140
222,314,114,440,280,160,300,230,116,380
158,330,144,282,182,112,184,184,182,412
